"","date","Q","DO","Temp"
"1",2019-06-28 23:00:00,470,8.1,23.6
"2",2019-06-28 23:15:00,460,8,23.6
"3",2019-06-28 23:30:00,460,8,23.6
"4",2019-06-28 23:45:00,460,8,23.5
"5",2019-06-29 00:00:00,456,7.9,23.5
"6",2019-06-29 00:15:00,460,7.9,23.4
"7",2019-06-29 00:30:00,456,7.9,23.4
"8",2019-06-29 00:45:00,456,7.9,23.4
"9",2019-06-29 01:00:00,456,7.8,23.3
"10",2019-06-29 01:15:00,456,7.8,23.3
"11",2019-06-29 01:30:00,456,7.8,23.3
"12",2019-06-29 01:45:00,451,7.8,23.2
"13",2019-06-29 02:00:00,446,7.8,23.2
"14",2019-06-29 02:15:00,456,7.7,23.1
"15",2019-06-29 02:30:00,456,7.7,23.1
"16",2019-06-29 02:45:00,446,7.7,23
"17",2019-06-29 03:00:00,456,7.7,23
"18",2019-06-29 03:15:00,451,7.7,23
"19",2019-06-29 03:30:00,451,7.7,22.9
"20",2019-06-29 03:45:00,451,7.6,22.8
"21",2019-06-29 04:00:00,451,7.7,22.8
"22",2019-06-29 04:15:00,446,7.6,22.7
"23",2019-06-29 04:30:00,451,7.6,22.7
"24",2019-06-29 04:45:00,451,7.6,22.6
"25",2019-06-29 05:00:00,451,7.6,22.6
"26",2019-06-29 05:15:00,456,7.6,22.5
"27",2019-06-29 05:30:00,451,7.6,22.5
"28",2019-06-29 05:45:00,456,7.6,22.4
"29",2019-06-29 06:00:00,447,7.6,22.4
"30",2019-06-29 06:15:00,447,7.6,22.4
"31",2019-06-29 06:30:00,456,7.7,22.3
"32",2019-06-29 06:45:00,451,7.7,22.3
"33",2019-06-29 07:00:00,451,7.7,22.2
"34",2019-06-29 07:15:00,451,7.7,22.2
"35",2019-06-29 07:30:00,447,7.8,22.2
"36",2019-06-29 07:45:00,447,7.8,22.2
"37",2019-06-29 08:00:00,451,7.9,22.2
"38",2019-06-29 08:15:00,447,7.9,22.3
"39",2019-06-29 08:30:00,451,8,22.3
"40",2019-06-29 08:45:00,442,8,22.4
"41",2019-06-29 09:00:00,451,8.1,22.4
"42",2019-06-29 09:15:00,451,8.3,22.4
"43",2019-06-29 09:30:00,451,8.2,22.5
"44",2019-06-29 09:45:00,447,8.3,22.6
"45",2019-06-29 10:00:00,456,8.4,22.7
"46",2019-06-29 10:15:00,456,8.4,22.8
"47",2019-06-29 10:30:00,456,8.5,22.9
"48",2019-06-29 10:45:00,447,8.5,23
"49",2019-06-29 11:00:00,447,8.6,23.1
"50",2019-06-29 11:15:00,456,8.7,23.2
"51",2019-06-29 11:30:00,447,8.7,23.3
"52",2019-06-29 11:45:00,465,8.8,23.4
"53",2019-06-29 12:00:00,461,8.9,23.5
"54",2019-06-29 12:15:00,461,8.9,23.6
"55",2019-06-29 12:30:00,451,9,23.7
"56",2019-06-29 12:45:00,461,9.1,23.8
"57",2019-06-29 13:00:00,451,9.1,23.9
"58",2019-06-29 13:15:00,461,9.2,24
"59",2019-06-29 13:30:00,456,9.2,24.1
"60",2019-06-29 13:45:00,447,9.3,24.2
"61",2019-06-29 14:00:00,456,9.3,24.3
"62",2019-06-29 14:15:00,456,9.3,24.3
"63",2019-06-29 14:30:00,447,9.2,24.3
"64",2019-06-29 14:45:00,456,9.2,24.3
"65",2019-06-29 15:00:00,456,9.2,24.3
"66",2019-06-29 15:15:00,451,9.1,24.3
"67",2019-06-29 15:30:00,456,9,24.3
"68",2019-06-29 15:45:00,456,9,24.2
"69",2019-06-29 16:00:00,456,8.9,24.2
"70",2019-06-29 16:15:00,461,8.8,24.2
"71",2019-06-29 16:30:00,461,8.8,24.2
"72",2019-06-29 16:45:00,470,8.8,24.2
"73",2019-06-29 17:00:00,470,8.8,24.2
"74",2019-06-29 17:15:00,480,8.8,24.2
"75",2019-06-29 17:30:00,485,8.8,24.2
"76",2019-06-29 17:45:00,485,8.9,24.2
"77",2019-06-29 18:00:00,498,8.9,24.2
"78",2019-06-29 18:15:00,503,8.8,24.2
"79",2019-06-29 18:30:00,511,8.8,24.2
"80",2019-06-29 18:45:00,520,8.7,24.1
"81",2019-06-29 19:00:00,528,8.7,24
"82",2019-06-29 19:15:00,537,8.6,24
"83",2019-06-29 19:30:00,542,8.5,23.9
"84",2019-06-29 19:45:00,551,8.4,23.9
"85",2019-06-29 20:00:00,555,8.4,23.8
"86",2019-06-29 20:15:00,569,8.4,23.8
"87",2019-06-29 20:30:00,578,8.3,23.7
"88",2019-06-29 20:45:00,587,8.3,23.6
"89",2019-06-29 21:00:00,606,8.2,23.6
"90",2019-06-29 21:15:00,630,8.2,23.5
"91",2019-06-29 21:30:00,660,8.1,23.5
"92",2019-06-29 21:45:00,695,8.1,23.4
"93",2019-06-29 22:00:00,748,8,23.3
"94",2019-06-29 22:15:00,784,8,23.2
"95",2019-06-29 22:30:00,825,8,23.2
"96",2019-06-29 22:45:00,862,8,23.1
"97",2019-06-29 23:00:00,883,7.9,23.1
"98",2019-06-29 23:15:00,910,7.9,23
"99",2019-06-29 23:30:00,904,7.9,23
"100",2019-06-29 23:45:00,915,7.9,23
"101",2019-06-30 00:00:00,910,7.9,22.9
"102",2019-06-30 00:15:00,910,7.9,22.9
